#N time
250 0.09
500 0.20
750 0.30
1000 0.41
1250 0.51
1500 0.62
1750 0.71
2000 0.82
2250 0.94
2500 1.02
2750 1.13
3000 1.33
3250 1.34
3500 1.45
3750 1.59
4000 1.72
4250 1.77
4500 1.93
4750 2.05
