#N time
250 0.00
500 0.02
750 0.04
1000 0.08
1250 0.13
1500 0.19
1750 0.26
2000 0.34
2250 0.47
2500 0.59
2750 0.66
3000 0.78
3250 0.92
3500 1.10
3750 1.26
4000 1.43
4250 1.59
4500 1.78
4750 2.09
